COURSE,Danish title,Point( ECTS ),Language of instruction,Evaluation,Location,Course type,Type of assessment,Aid,Duration of Course,Schedule,Study lines,Recommended Academic prerequisites,Academic prerequisites,Mandatory Prerequisites,General course objectives,Learning objectives,Content,Remarks,Highlighted Message,Last updated,Scope and form,Exam duration,Home page,Previous Course,Registration Sign up,Not applicable together with,Green challenge participation,Department,Department involved,External Institution,Date of examination,Responsible,Course co-responsible,Institute,Main responsible name,Main responsible pic,Co responsible name 1,Co responsible pic 1,Co responsible name 2,Co responsible pic 2,Co responsible name 3,Co responsible pic 3,Co responsible name 4,Co responsible pic 4
01003,Repetitionskursus i 01005 Matematik1-forårspensum,0,Danish,"7 step scale , internal examiner",Campus Lyngby See the Danish version,BSc,Written examination  See the Danish version,All Aid : See the Danish version,[The course is not following DTUs normal Schedule],,[ ],,,,The course content is the mathematical basis for a broad range of technical fields and also provides a starting point for further studies in mathematics and applied mathematics. The dominating theme of the course is linearity. The goal is to give students the ability to employ fundamental tools of mathematics in theoretical studies as well as in applied projects. The use of modern computer software supports both of these aspects. ,A student who has met the objectives of the course will be able to:<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version</li></ul>,"Linear equations and linear maps. Matrix algebra. Vektor spaces. Eigenvalue problems. Symmetric and orthogonal matrices. Complex numbers. Linear differential equations. Standard functions. <br /> Functions of one and several real variables: linear approximations and partial derivatives, Taylor expansions and quadratic forms, extrema and level curves, line, surface and volume integrals. Vector fields, Gauss' and Stokes' theorem. <br /> Applications of MAPLE in the above areas. Examples of applications in the engineering sciences. ","The course is a two-semester course for students following one of the preliminary four-semester programs: <br /> Scheme A for the programs Chemical Engineering, Biotechnology, Design and Innovation, Environmental Engineering, Medicine &amp; Technology and Human Life Science Engineering. <br /> Scheme B for the programs Architectural Engineering, Civil Engineering, Earth and Space Physics and Engineering, Mechanical Engineering and Physics and Nanotechnology. <br /> Scheme C for the programs Electrical Engineering, Mathematics and Technology, Network Technology and IT, Software Technology and Strategic Analysis and Systems Design. ",See the Danish version,"05. maj, 2020",See the Danish version,See the Danish version,http://01005.compute.dtu.dk,,At the Studyplanner,,"Please contact the teacher for information on whether this course gives the student the opportunity to prepare a project that may participate in DTU´s Study Conference on sustainability, climate technology, and the environment (GRØN DYST). More infor http://www.groendyst.dtu.dk/english",01 Department of Applied Mathematics and Computer Science,,,Decide with teacher,"Karsten Schmidt , Lyngby Campus, Building 303B, Ph. (+45) 4525 5856 , ksch@dtu.dk","Michael Pedersen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3012 , micp@dtu.dk",,Ulrik Engelund Pedersen,https://www.dtubasen.dtu.dk/showimage.aspx?id=9656,Pieter Hendrik Turdus Beelen,https://www.dtubasen.dtu.dk/showimage.aspx?id=28452,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
01005,Matematik 1,20,Danish,"7 step scale , external examiner",Campus Lyngby,BScOffered as a single course,"Written examination and reports  4 parts equally weighted: 1) 7 homework assignments, 2) Tests in fall curriculum, 3) 3-week project exercise and 4) Tests in spring curriculum. Precise description: http://01005.compute.dtu.dk/Info-Eksamensregler",All Aid : For a precise description: http:/​/​01005.compute.dtu.dk/​Info-Eksamensregler,13 weeks + 13 weeks,"Autumn and Spring  Course is given in three different schedules dependent on study programme. Scheme A: E1A, E2 og F1A, F2 Scheme B: E3A, E4 og F3A, F4 Scheme C: E5, E3B og F5, F3B",[ ],,,,The course content is the mathematical basis for a broad range of technical fields and also provides a starting point for further studies in mathematics and applied mathematics. The dominating theme of the course is linearity. The goal is to give students the ability to employ fundamental tools of mathematics in theoretical studies as well as in applied thematic exercises and projects. The use of modern computer software supports both of these aspects. ,"A student who has met the objectives of the course will be able to:<br />- use the algeraic and the geometric representation of complex numbers including the complex exponential function.<br />- use matrix algebra and Gaussian elimination for solving systems of linear equations.<br />- analyse and explain the linear structure of solution sets in vector spaces.<br />- perform calculations with the elementary functions including their inverse functions.<br />- use Taylor's formulas for approximizations and limits.<br />- solve elementary first and second order differential equations and systems of differential equations.<br />- calculate extremas for multivariate functions, especially on domains with boundary.<br />- parameterise elementary curves, surfaces and massive solids and calculate elementary curve, surface and volume integrals.<br />- use Gauss's and Stokes's theorems in simple applications.<br />- use mathematical terminology and reasoning in oral as well as written presentation.<br />- coordinate joint work in groups around thematic exercises and applications.<br />- use computer algebraic systems (at present Maple) for solving and visualisation of mathematical problems.</li></ul>","Linear equations and linear maps. Matrix algebra. Vektor spaces. Eigenvalue problems. Symmetric and orthogonal matrices. Complex numbers. Linear differential equations. Standard functions. Functions of one and several real variables: linear approximations and partial derivatives, Taylor expansions and quadratic forms, extrema and level curves, line, surface and volume integrals. Vector fields, Gauss' and Stokes' theorem. <br /> Applications of MAPLE in the above areas. Examples of applications in the engineering sciences. ","The course is a two-semester course for students following one of the preliminary four-semester programs: <br /> Scheme A for the programs Biotechnology, Environmental Engineering, Medicine &amp; Technology, Human Life Science Engineering, Quantitative Biology. <br /> Scheme B for the programs Architectural Engineering, Civil Engineering, Earth and Space Physics and Engineering, Mathematics and Technology, Mechanical Engineering and Physics and Nanotechnology. <br /> Scheme C for the programs Electrical Engineering, Design and Innovation, Network Technology and IT, Software Technology and Strategic Analysis and Systems Design. ","Due to Covid-19, the written exam for the Summer of 2021 will be held as an online exam from home with all aids and open internet.","29. marts, 2021","Per week: 2 lectures, 3h tutorials and 3h groupwork. Moreover thematic exercises and projectwork in some weeks.",1-hour current tests and 3-hours closing tests,http://01005.compute.dtu.dk/,,At the Studyplanner,01006 / 01008 / 01015,"Please contact the teacher for information on whether this course gives the student the opportunity to prepare a project that may participate in DTU´s Study Conference on sustainability, climate technology, and the environment (GRØN DYST). More infor http://www.groendyst.dtu.dk/english",01 Department of Applied Mathematics and Computer Science,,,"Decide with teacher, Closing tests: Special day: Click ""Date of examination"" to the left to see DTU's examination timetable","Karsten Schmidt , Lyngby Campus, Building 303B, Ph. (+45) 4525 5856 , ksch@dtu.dk","Michael Pedersen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3012 , micp@dtu.dk",,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
01006,Matematik 1,20,English,"7 step scale , external examiner",Campus Lyngby The lecture starts at 10:30 on Wednesdays,BSc,"Written examination and reports  4 parts equally weighted: 1) 7 homework assignments, 2) Tests in fall curriculum, 3) 3-week project exercise and 4) Tests in spring curriculum. Precise description: http://01006.compute.dtu.dk/Info-Eksamensregler","All Aid : For a precise description: http:/​/​01006.compute.dtu.dk/​Info-Exam Rules (In Danish, English version in progress)",13 weeks + 13 weeks,"Autumn and Spring  E5, E3B and F5, F3B",[ ],,,,The course content is the mathematical basis for a broad range of technical fields and also provides a starting point for further studies in mathematics and applied mathematics. The dominating theme of the course is linearity. The goal is to give students the ability to employ fundamental tools of mathematics in theoretical studies as well as in applied thematic exercises and projects. The use of modern computer software supports both of these aspects. ,"A student who has met the objectives of the course will be able to:<br />- use the algebraic and the geometric representation of complex numbers including the complex exponential function.<br />- use matrix algebra and Gaussian elimination for solving systems of linear equations.<br />- analyse and explain the linear structure of solution sets in vector spaces.<br />- perform simple calculations with the elementary functions including their inverse functions.<br />- use Taylor's formulas for approximizations and limits.<br />- solve elementary first and second order differential equations and systems of differential equations.<br />- calculate extremas for multivariate functions, especially on domains with boundary<br />- parameterise elementary curves, surfaces and massive solids and calculate elementary curve, surface and volume integrals.<br />- use Gauss's and Stokes's theorems in simple applications.<br />- use mathematical terminology and reasoning in oral as well as written presentation.<br />- coordinate joint work in groups around thematic exercises and applications.<br />- use computer algebraic systems (at present Maple) for solving and visualisation of mathematical problems.</li></ul>","Linear equations and linear maps. Matrix algebra. Vektor spaces. Eigenvalue problems. Symmetric and orthogonal matrices. Complex numbers. Linear differential equations. Standard functions. Functions of one and several real variables: linear approximations and partial derivatives, Taylor expansions and quadratic forms, extrema and level curves, line, surface and volume integrals. Vector fields, Gauss' and Stokes' theorem. <br /> Applications of MAPLE in the above areas. Examples of applications in the engineering sciences. ",None,"Due to Covid-19, the written exam for the Summer of 2021 will be held as an online exam from home with all aids and open internet. <br /> The course is a two-semester course for bachelor students following the programme General Engineering.","29. marts, 2021","Per week: 2 lectures, 3h tutorials and 3h groupwork. Moreover thematic exercises and projectwork in some weeks.",1-hour current tests and 3-hours closing tests,http://01006.compute.dtu.dk/,,At the Studyplanner,01005 / 01008 / 01015,"Please contact the teacher for information on whether this course gives the student the opportunity to prepare a project that may participate in DTU´s Study Conference on sustainability, climate technology, and the environment (GRØN DYST). More infor http://www.groendyst.dtu.dk/english",01 Department of Applied Mathematics and Computer Science,,,"Decide with teacher, Closing tests: Special day: Click ""Date of examination"" to the left to see DTU's examination timetable","Karsten Schmidt , Lyngby Campus, Building 303B, Ph. (+45) 4525 5856 , ksch@dtu.dk","Jesper Kampmann Larsen (Primary contact person) , Lyngby Campus , jkam@dtu.dk Michael Pedersen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3012 , micp@dtu.dk",,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
01015,Matematik 1,175,Danish,"7 step scale , external examiner",Campus Lyngby,BSc,Written examination and reports  For a precise description of the evaluation of the course: http:/​/​01005.compute.dtu.dk/​Info-Eksamensregler,All Aid : For a precise description of the evaluation of the course: http:/​​/​​01005.compute.dtu.dk/​​Info-Eksamensregler,13 weeks + 13 weeks,"Autumn and Spring  E1A, E2 and F1A, F2",[ ],,,,The course content is the mathematical basis for a broad range of technical fields and also provides a starting point for further studies in mathematics and applied mathematics. The dominating theme of the course is linearity. The goal is to give students the ability to employ fundamental tools of mathematics in theoretical studies as well as in applied projects. The use of modern computer software supports both of these aspects. ,A student who has met the objectives of the course will be able to:<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version</li></ul>,"Linear equations and linear maps. Matrix algebra. Vektor spaces. Eigenvalue problems. Symmetric and orthogonal matrices. Complex numbers. Linear differential equations. Standard functions. <br /> Functions of one and several real variables: linear approximations and partial derivatives, Taylor expansions and quadratic forms, extrema and level curves, line, surface and volume integrals. Vector fields, Gauss' and Stokes' theorem. <br /> Applications of MAPLE in the above areas. Examples of applications in the engineering sciences. ",None,"Due to Covid-19, the written exam for the Summer of 2021 will be held as an online exam from home with all aids and open internet. <br /> The course is a two-semester course for bachelor students following the study programme Chemical Engineering","29. marts, 2021","Per week: 2 lectures, 3h tutorials and 3h groupwork. Moreover projectwork in some weeks.",1-hour current tests and 3-hours closing tests,http://01005.compute.dtu.dk/,,At the Studyplanner,01005/01006,"Please contact the teacher for information on whether this course gives the student the opportunity to prepare a project that may participate in DTU´s Study Conference on sustainability, climate technology, and the environment (GRØN DYST). More infor http://www.groendyst.dtu.dk/english",01 Department of Applied Mathematics and Computer Science,,,"Decide with teacher, Closing tests: Special day: Click ""Date of examination"" to the left to see DTU's examination timetable","Karsten Schmidt , Lyngby Campus, Building 303B, Ph. (+45) 4525 5856 , ksch@dtu.dk","Michael Pedersen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3012 , micp@dtu.dk",,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
01016,Matematik 1 uden temaøvelser,175,Danish,"7 step scale , external examiner",Campus Lyngby,BSc,Written examination and reports  For a precise description of the evaluation of the course: http://01005.compute.dtu.dk/Info-Eksamensregler,All Aid : For a precise description of the evaluation of the course: http:/​/​01005.compute.dtu.dk/​Info-Eksamensregler,13 weeks + 13 weeks,"Autumn and Spring  E1A, E2 and F1A, F2",[ ],,,,The course content is the mathematical basis for a broad range of technical fields and also provides a starting point for further studies in mathematics and applied mathematics. The dominating theme of the course is linearity. The goal is to give students the ability to employ fundamental tools of mathematics in theoretical studies as well as in applied projects. The use of modern computer software supports both of these aspects. ,A student who has met the objectives of the course will be able to:<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version<br />- See the Danish version</li></ul>,"Linear equations and linear maps. Matrix algebra. Vektor spaces. Eigenvalue problems. Symmetric and orthogonal matrices. Complex numbers. Linear differential equations. Standard functions. <br /> Functions of one and several real variables: linear approximations and partial derivatives, Taylor expansions and quadratic forms, extrema and level curves, line, surface and volume integrals. Vector fields, Gauss' and Stokes' theorem. <br /> Applications of MAPLE in the above areas. Examples of applications in the engineering sciences. ",None,"Due to Covid-19, the written exam for the Summer of 2021 will be held as an online exam from home with all aids and open internet.","29. marts, 2021","Per week: 2 lectures, 3h tutorials and 3h groupwork. Moreover projectwork in some weeks.",1-hour current tests and 3-hours closing tests,http://01005.compute.dtu.dk/,,At the Studyplanner,01005/01006,"Please contact the teacher for information on whether this course gives the student the opportunity to prepare a project that may participate in DTU´s Study Conference on sustainability, climate technology, and the environment (GRØN DYST). More infor http://www.groendyst.dtu.dk/english",01 Department of Applied Mathematics and Computer Science,,,"Decide with teacher, Closing tests: Special day: Click ""Date of examination"" to the left to see DTU's examination timetable","Karsten Schmidt , Lyngby Campus, Building 303B, Ph. (+45) 4525 5856 , ksch@dtu.dk","Michael Pedersen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3012 , micp@dtu.dk",,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
01017,Diskret matematik,5,Danish,"7 step scale , internal examiner",Campus Lyngby,BScOffered as a single course,"Written examination and exercises  The assessment is based on 4 mandatory assignments during the course and a final 2 hour written exam. The final grade is based on an overall assessment, where the written exam is weighted approximately 60% and the assignments approximately 40%.",Written works of reference are permitted,13 weeks,Autumn E2B (Thurs 8-12),[ ],,,,To provide an essential part of the mathematical foundations for the modern engineering sciences and illustrate its applications. ,"A student who has met the objectives of the course will be able to:<br />- Operate with sets and set theoretical expressions.<br />- Account for the connection between set theory and propositional logic.<br />- Design and complete simple mathematical proofs.<br />- Operate with recursive definitions and complete induction proofs over the natural numbers.<br />- Solve simple combinatorial problems.<br />- Translate simple statements from natural language to formal languages (propositional logic and predicate logic).<br />- Operate with logical consequence and logical equivalence.<br />- Operate with logical proof systems.<br />- Understand modulo arithmetic both algorithmically and theoretically (Euclid's algorithms, cosets).<br />- Argue logically and convincingly for a choice of solution.<br />- Use the technical disciplinary concepts in a clear and unambiguous way.<br />- Present solutions concisely.</li></ul>","Sets, relations, induction and recursion, modulo arithmetic, combinatorics, propositional logic, predicate logic and proof systems. ",None,"Due to Covid-19, the written exam for the Summer of 2021 will be held as an online exam from home with all aids and open internet. <br /> Due to Covid-19, the written exam for the Winter of 2020 will be held as an online exam from home. <br /> There is an English version of this course: <br /> 01019 Discrete Mathematics","11. maj, 2020",Lectures and exercise classes.,2 hours,,,At the Studyplanner,0101901904,,01 Department of Applied Mathematics and Computer Science,,,"E2B, F2B","Thomas Bolander , Lyngby Campus, Building 322, Ph. (+45) 4525 3715 , tobo@dtu.dk","Christian Henriksen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3054 , chrh@dtu.dk Johan Sebastian Heesemann Rosenkilde",,David Earl Roberson,https://www.dtubasen.dtu.dk/showimage.aspx?id=126613,Carsten Thomassen,https://www.dtubasen.dtu.dk/showimage.aspx?id=2460,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
01018,Diskret matematik 2: algebra,5,English,"7 step scale , internal examiner",Campus Lyngby,BScMScOffered as a single course,Written examination and exercises,All Aid,13 weeks,Autumn E3B (Fri 13-17),[ ],,,,"The goal with this course is to introduce several algebraic constructions (specifically: groups, rings and fields). These constructions will be exemplified in different areas, among others geometry and discrete mathematics. <br /> Apart from this, the course strengthens the ability to formulate and carry out a mathematical proof as well as to handle mathematical concepts. ",A student who has met the objectives of the course will be able to:<br />- give the definition of a group<br />- apply group theory to solve counting problems<br />- describe symmetries of geometric object (eg platonic solids)<br />- give the definition of a ring<br />- explain the notion of an ideal and use this to construct quotient rings<br />- understand the construction of fields from rings (especially finite fields)<br />- indicate how finite fields are applied<br />- carry out a mathematical proof</li></ul>,"Algebra is the foundation of many applications, especially in coding theory and cryptography. <br /> The goal with this course is to introduce several algebraic constructions (groups, rings and fields). These constructions will be exemplified in different areas, among others geometry and discrete mathematics. Also an impression is given as to how this theory is applied and as such the course is a preparatory course for further courses in discrete mathematics. ",None,"Due to Covid-19, the written exam for the Summer of 2021 will be held as an online exam from home with all aids and open internet. <br /> Due to Covid-19, the written exam for the Winter of 2020 will be held as an online exam from home","09. februar, 2021",Lectures and exercise sessions,4 hours,,,At the Studyplanner,,,01 Department of Applied Mathematics and Computer Science,,,"E3B, F3B","Peter Beelen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3022 , pabe@dtu.dk","Maria Montanucci , Lyngby Campus, Building 303B , marimo@dtu.dk",,Maria Montanucci,https://www.dtubasen.dtu.dk/showimage.aspx?id=123707,Pieter Hendrik Turdus Beelen,https://www.dtubasen.dtu.dk/showimage.aspx?id=28452,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
01019,Diskret matematik,5,English,"7 step scale , internal examiner",Campus Lyngby,BScOffered as a single course,"Written examination and exercises  The assessment is based on 4 mandatory assignments during the course and a final 2 hour written exam. The final grade is based on an overall assessment, where the written exam is weighted approximately 60% and the assignments approximately 40%.",Written works of reference are permitted,13 weeks,Autumn E2B (Thurs 8-12),[ ],,,,To provide an essential part of the mathematical foundations for the modern engineering sciences and illustrate its applications. ,"A student who has met the objectives of the course will be able to:<br />- Operate with sets and set theoretical expressions.<br />- Account for the connection between set theory and propositional logic.<br />- Construct and complete simple mathematical proofs.<br />- Operate with recursive definitions and complete induction proofs over the natural numbers.<br />- Solve simple combinatorial problems.<br />- Translate simple statements from natural language to formal languages (propositional logic and predicate logic).<br />- Operate with logical consequence and logical equivalence.<br />- Operate with logical proof systems.<br />- Understand modulo arithmetic both algorithmically and theoretically (Euclid's algorithms, cosets).<br />- Argue logically and convincingly for a choice of solution.<br />- Use the technical disciplinary concepts in a clear and unambiguous way.<br />- Present solutions concisely.</li></ul>","Sets, relations, induction and recursion, modulo arithmetic, combinatorics, propositional logic, predicate logic and proof systems. ",None,"Due to Covid-19, the written exam for the Summer of 2021 will be held as an online exam from home with all aids and open internet. <br /> Due to Covid-19, the written exam for the Winter of 2020 will be held as an online exam from home. <br /> There is a Danish version of this course: <br /> 01017 Diskret Matematik","05. maj, 2020",Lectures and exercise classes.,2 hours,,,At the Studyplanner,0190401017,,01 Department of Applied Mathematics and Computer Science,,,"E2B, F2B","Thomas Bolander , Lyngby Campus, Building 322, Ph. (+45) 4525 3715 , tobo@dtu.dk","Christian Henriksen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3054 , chrh@dtu.dk Paul Fischer , Lyngby Campus, Building 322, Ph. (+45) 4525 3713 , pafi@dtu.dk",,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
01020,Videregående Lineær Algebra,5,Danish,"pass / not pass , internal examiner",Campus Lyngby,BSc,Written examination and exercises  3 home works must be approved,All Aid,13 weeks,Spring F2B (Thurs 8-12),[ ],,,,"To provide the students with the mathematical background on advanced linear algebra that is used in, mainly, applied mathematics, but also computer science, statistics and physics as well as machine learning, data science, etc. The main focus is on (finite dimensional) inner product spaces, linear transforms on such spaces, and matrix factorizations (QR, SVD, DFT/FFT). <br /><br /> The course style is blackboard lectures and pen-and-paper exercises - computer programs as Maple, Matlab, Pyhton, etc. will only play a marginal role. On the other hand, the course will give insight into the structure of linear algebra that is incredible powerful when programming (or selecting) software for the solution of a large range of engineering problems. In fact, the numerical solution of just about any problem relies on the ability to solve linear problems accurately and efficiently. The course also aims to state all results clearly and prove them rigorously. This will strengthen the ability to handle abstract mathematical objects, to understand mathematical results and proofs, and to prove results yourself. ","A student who has met the objectives of the course will be able to:<br />- Give examples of concrete vector spaces, norms, and inner products<br />- Explain the concept of linear transforms and related notions (kernel, range, etc.)<br />- Understand the action of matrix types (block, Householder, Hermitian, Unitary, Normal, etc.)<br />- Understand the role of matrix factorizations and decompositions<br />- Apply and prove the spectral theorem<br />- Apply and prove the Singular Value Decomposition<br />- Describe the Discrete Fourier Transform and its properties<br />- Carry out a mathematical proof</li></ul>","Linear algebra is a branch of mathematics that is widely used throughout the natural sciences and engineering. In this course we will cover: <br /> * Vectors, matrices, direct sum and Kronecker product of matrices. <br /> * Various matrix types: Block matrices, Householder, Hermitian, Unitary, Orthogonal Projections, Normal, Circular, Pseudo-inverse, etc. <br /> * Norms and inner products: induced norms, Frobenious norms, etc. <br /> * Matrix factorizations/​diagonalizations: QR factorization, Schur's Triangularization, Spectral (Eigenvalue/​Eigenvector), Jordan normal form, Singular Value Decomposition (SVD), Polar Decomposition. <br /> * Specific linear transforms: Householder reflections, Convolutions (circular matrices), Discrete (fast) Fourier Transform (DFT/FFT) <br /> * If time permits: Gershgorin’s disc theorem (bounding the eigenvalues), the Convolution theorem, <br /><br /> This course is a continuation of the linear algebra from Mathematics 1, but with emphasis on proofs and insight and with less focus on Maple computations and applications. In particular, we will prove the dimension and the spectral theorem which are mentioned and applied in Mathematics 1 without proof. The proofs will whenever possible follow strategies that allow for stable numerical implementations, e.g., the proof of QR factorization (which in itself is an important tool for numerical solutions of least-squares problems and computing eigenvalues) relies on Householder transformations; we will, however, not do the actual implementation (due to time constraints). Our focus is that the proofs should provide insight. ",None,"Due to Covid-19, the written exam for the Summer of 2021 will be held as an online exam from home with all aids and open internet. <br /> Due to Covid-19, the written exam for the Winter of 2020 will be held as an online exam from home.","05. maj, 2020",Lectures (in Danish) and class exercise sessions,4 hours,,,At the Studyplanner,,"Please contact the teacher for information on whether this course gives the student the opportunity to prepare a project that may participate in DTU´s Study Conference on sustainability, climate technology, and the environment (GRØN DYST). More infor http://www.groendyst.dtu.dk/english",01 Department of Applied Mathematics and Computer Science,,,"F2B, E2B","Jakob Lemvig , Lyngby Campus, Building 303B, Ph. (+45) 4525 3065 , jakle@dtu.dk","Jens Gravesen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3064 , jgra@dtu.dk",,David Brander,https://www.dtubasen.dtu.dk/showimage.aspx?id=50472,Jakob Lemvig,https://www.dtubasen.dtu.dk/showimage.aspx?id=21544,Jens Karl Gravesen,https://www.dtubasen.dtu.dk/showimage.aspx?id=672,NO_DATA,NO_DATA,NO_DATA,NO_DATA
01025,Matematik 2 for Matematik og Teknologi,5,Danish,"7 step scale , external examiner",Campus Lyngby,BScOffered as a single course,Written examination and exercises  The exam is simultaneously with the exam in 01035 Mathematics 2,All Aid,13 weeks,Autumn E1A (Mon 8-12),[ ],,,,"To provide the participants with tools, e.g., infinite series, to solve ordinary linear differential equations. By the mathematical approach the student will gain sufficient matureness to be able to deal with more advanced topics within mathematical analysis and its aplications. ","A student who has met the objectives of the course will be able to:<br />- Determine the solutions to nth order homogeneous differential equations<br />- Determine the solutions to linear homogeneous systems of differential equations<br />- Master the transfer function and apply it to solution of inhomogeneous differential equations<br />- Distinguish between linear/nonlinear systems and test the behaviour of nonlinear systems<br />- Determine and argue for the stability of linear systems of differential equations<br />- Master central convergence issues<br />- Estimate the number of terms which is needed in order to obtain a desired approximation of an infinite series<br />- Find the Fourier series for simple periodic functions, clarify their convergence properties, and approximation-theoretic properties<br />- Apply Fourier series and various other types of infinite series to solution of differential equations<br />- Master selected proofs within the theory for infinite series and differential equations<br />- Construct proofs for simple claims within the theory for infinite series and differential equations</li></ul>","Transfer functions. Infinite series, power series, Fourier series. Applications of infinite series on differential equations, the exponential matrix. Introduction to non-linear differential equations. Stability. Central definitions, concepts, and proofs within these topics. ",None,"Due to Covid-19, the written exam for the Summer of 2021 will be held as an online exam from home with all aids and open internet. <br /> The written exam for the winter of 2020 will be held on campus. <br /> The course is a more mathematically oriented version of the course 01035. The course is mandatory for students on the study line Mathematics and Technology, and open for all other study lines.","29. marts, 2021",Lectures and problem sessions,3 hours,,,At the Studyplanner,01034.01035.01037,,01 Department of Applied Mathematics and Computer Science,,,"Special day: Click ""Date of examination"" to the left to see DTU's examination timetable","Peter Røgen , Lyngby Campus, Building 303B, Ph. (+45) 4525 3044 , prog@dtu.dk",,,Peter R&#248;gen,https://www.dtubasen.dtu.dk/showimage.aspx?id=2210,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
